»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2020-02-04,'002029,∆ﬂ ∆• ¿«,5.08,5.16,5.01,5.01,5.08,0.0,0.0,1.0825,8180361,41646843.9,3838803600.0,3838803600.0
2020-02-03,'002029,∆ﬂ ∆• ¿«,5.08,5.14,5.08,5.09,5.64,-0.56,-9.9291,1.1404,8617562,43824703.28,3838803600.0,3838803600.0
2020-01-23,'002029,∆ﬂ ∆• ¿«,5.64,5.84,5.61,5.81,5.84,-0.2,-3.4247,0.7818,5907519,33760208.92,4261978800.0,4261978800.0
2020-01-22,'002029,∆ﬂ ∆• ¿«,5.84,5.87,5.77,5.86,5.86,-0.02,-0.3413,0.5317,4017954,23368601.32,4413112800.0,4413112800.0
2020-01-21,'002029,∆ﬂ ∆• ¿«,5.86,5.96,5.86,5.95,5.96,-0.1,-1.6779,0.5907,4463608,26297211.88,4428226200.0,4428226200.0
2020-01-20,'002029,∆ﬂ ∆• ¿«,5.96,5.99,5.92,5.99,5.98,-0.02,-0.3344,0.5848,4419375,26305546.92,4503793200.0,4503793200.0
2020-01-17,'002029,∆ﬂ ∆• ¿«,5.98,6.04,5.96,6.01,5.99,-0.01,-0.1669,0.5494,4151423,24905483.62,4518906600.0,4518906600.0
2020-01-16,'002029,∆ﬂ ∆• ¿«,5.99,6.04,5.97,6.03,6.01,-0.02,-0.3328,0.5407,4085654,24528363.62,4526463300.0,4526463300.0
2020-01-15,'002029,∆ﬂ ∆• ¿«,6.01,6.04,5.98,6.03,6.03,-0.02,-0.3317,0.6315,4771733,28662860.75,4541576700.0,4541576700.0
2020-01-14,'002029,∆ﬂ ∆• ¿«,6.03,6.1,6.02,6.09,6.09,-0.06,-0.9852,1.0681,8071096,48867225.82,4556690100.0,4556690100.0
2020-01-13,'002029,∆ﬂ ∆• ¿«,6.09,6.12,6.01,6.08,6.11,-0.02,-0.3273,1.5281,11547064,70026244.8,4602030300.0,4602030300.0
2020-01-10,'002029,∆ﬂ ∆• ¿«,6.11,6.19,5.97,6.03,6.0,0.11,1.8333,2.2575,17059239,103733386.81,4617143700.0,4617143700.0
2020-01-09,'002029,∆ﬂ ∆• ¿«,6.0,6.03,5.9,5.92,5.86,0.14,2.3891,1.3183,9962209,59595170.3,4534020000.0,4534020000.0
2020-01-08,'002029,∆ﬂ ∆• ¿«,5.86,5.97,5.86,5.96,6.0,-0.14,-2.3333,1.3187,9965318,58879129.48,4428226200.0,4428226200.0
2020-01-07,'002029,∆ﬂ ∆• ¿«,6.0,6.02,5.95,5.96,5.96,0.04,0.6711,1.0614,8020693,47990854.49,4534020000.0,4534020000.0
2020-01-06,'002029,∆ﬂ ∆• ¿«,5.96,6.04,5.93,5.98,6.04,-0.08,-1.3245,1.3055,9865165,59044972.8,4503793200.0,4503793200.0
2020-01-03,'002029,∆ﬂ ∆• ¿«,6.04,6.09,5.94,5.98,5.98,0.06,1.0033,1.6016,12102676,72804491.97,4564246800.0,4564246800.0
2020-01-02,'002029,∆ﬂ ∆• ¿«,5.98,6.01,5.85,5.88,5.85,0.13,2.2222,1.6317,12330555,73290055.11,4518906600.0,4518906600.0
2019-12-31,'002029,∆ﬂ ∆• ¿«,5.85,5.91,5.8,5.87,5.9,-0.05,-0.8475,1.0767,8136327,47565395.04,4420669500.0,4420669500.0
2019-12-30,'002029,∆ﬂ ∆• ¿«,5.9,5.91,5.68,5.74,5.77,0.13,2.253,1.5472,11691468,68209772.81,4458453000.0,4458453000.0
2019-12-27,'002029,∆ﬂ ∆• ¿«,5.77,5.89,5.75,5.76,5.75,0.02,0.3478,1.3309,10057317,58517956.26,4360215900.0,4360215900.0
2019-12-26,'002029,∆ﬂ ∆• ¿«,5.75,5.79,5.73,5.76,5.76,-0.01,-0.1736,1.0393,7853377,45252691.39,4345102500.0,4345102500.0
2019-12-25,'002029,∆ﬂ ∆• ¿«,5.76,5.8,5.73,5.8,5.8,-0.04,-0.6897,0.4942,3734163,21536082.62,4352659200.0,4352659200.0
2019-12-24,'002029,∆ﬂ ∆• ¿«,5.8,5.8,5.66,5.67,5.67,0.13,2.2928,0.5928,4479299,25677246.29,4382886000.0,4382886000.0
2019-12-23,'002029,∆ﬂ ∆• ¿«,5.67,5.79,5.66,5.75,5.75,-0.08,-1.3913,0.5127,3874663,22204125.36,4284648900.0,4284648900.0
2019-12-20,'002029,∆ﬂ ∆• ¿«,5.75,5.83,5.75,5.81,5.81,-0.06,-1.0327,0.5073,3833762,22170950.34,4345102500.0,4345102500.0
2019-12-19,'002029,∆ﬂ ∆• ¿«,5.81,5.82,5.74,5.74,5.74,0.07,1.2195,0.7245,5475167,31598908.52,4390442700.0,4390442700.0
2019-12-18,'002029,∆ﬂ ∆• ¿«,5.74,5.78,5.73,5.75,5.74,0.0,0.0,0.7568,5718617,32888448.75,4337545800.0,4337545800.0
2019-12-17,'002029,∆ﬂ ∆• ¿«,5.74,5.77,5.67,5.68,5.68,0.06,1.0563,1.252,9461325,54139279.56,4337545800.0,4337545800.0
2019-12-16,'002029,∆ﬂ ∆• ¿«,5.68,5.7,5.63,5.65,5.64,0.04,0.7092,0.6418,4849593,27507536.31,4292205600.0,4292205600.0
2019-12-13,'002029,∆ﬂ ∆• ¿«,5.64,5.67,5.59,5.6,5.58,0.06,1.0753,0.4228,3195236,17969528.68,4261978800.0,4261978800.0
2019-12-12,'002029,∆ﬂ ∆• ¿«,5.58,5.62,5.57,5.61,5.61,-0.03,-0.5348,0.3118,2356201,13169852.58,4216638600.0,4216638600.0
2019-12-11,'002029,∆ﬂ ∆• ¿«,5.61,5.64,5.6,5.63,5.63,-0.02,-0.3552,0.3616,2732800,15350321.0,4239308700.0,4239308700.0
2019-12-10,'002029,∆ﬂ ∆• ¿«,5.63,5.66,5.62,5.63,5.64,-0.01,-0.1773,0.4253,3214101,18098380.63,4254422100.0,4254422100.0
2019-12-09,'002029,∆ﬂ ∆• ¿«,5.64,5.66,5.59,5.6,5.6,0.04,0.7143,0.5951,4497344,25311738.45,4261978800.0,4261978800.0
2019-12-06,'002029,∆ﬂ ∆• ¿«,5.6,5.61,5.57,5.57,5.59,0.01,0.1789,0.4143,3130947,17496832.2,4231752000.0,4231752000.0
2019-12-05,'002029,∆ﬂ ∆• ¿«,5.59,5.63,5.56,5.6,5.54,0.05,0.9025,0.739,5584181,31221762.98,4224195300.0,4224195300.0
2019-12-04,'002029,∆ﬂ ∆• ¿«,5.54,5.63,5.51,5.53,5.54,0.0,0.0,0.5298,4003700,22220875.0,4186411800.0,4186411800.0
2019-12-03,'002029,∆ﬂ ∆• ¿«,5.54,5.55,5.49,5.52,5.55,-0.01,-0.1802,0.3879,2931600,16194691.0,4186411800.0,4186411800.0
2019-12-02,'002029,∆ﬂ ∆• ¿«,5.55,5.55,5.52,5.54,5.53,0.02,0.3617,0.2371,1791800,9921837.0,4193968500.0,4193968500.0
2019-11-29,'002029,∆ﬂ ∆• ¿«,5.53,5.55,5.5,5.53,5.53,0.0,0.0,0.2642,1996510,11029935.61,4178855100.0,4178855100.0
2019-11-28,'002029,∆ﬂ ∆• ¿«,5.53,5.58,5.52,5.58,5.58,-0.05,-0.8961,0.265,2002700,11107358.0,4178855100.0,4178855100.0
2019-11-27,'002029,∆ﬂ ∆• ¿«,5.58,5.65,5.58,5.64,5.62,-0.04,-0.7117,0.3098,2341288,13109169.04,4216638600.0,4216638600.0
2019-11-26,'002029,∆ﬂ ∆• ¿«,5.62,5.65,5.58,5.64,5.64,-0.02,-0.3546,0.3203,2420300,13586865.0,4246865400.0,4246865400.0
2019-11-25,'002029,∆ﬂ ∆• ¿«,5.64,5.65,5.52,5.55,5.54,0.1,1.8051,0.5366,4054900,22679435.0,4261978800.0,4261978800.0
2019-11-22,'002029,∆ﬂ ∆• ¿«,5.54,5.58,5.5,5.52,5.52,0.02,0.3623,0.2923,2208700,12223684.0,4186411800.0,4186411800.0
2019-11-21,'002029,∆ﬂ ∆• ¿«,5.52,5.54,5.49,5.52,5.53,-0.01,-0.1808,0.2128,1607700,8866292.0,4171298400.0,4171298400.0
2019-11-20,'002029,∆ﬂ ∆• ¿«,5.53,5.57,5.52,5.56,5.58,-0.05,-0.8961,0.2335,1764200,9779042.0,4178855100.0,4178855100.0
2019-11-19,'002029,∆ﬂ ∆• ¿«,5.58,5.58,5.51,5.53,5.53,0.05,0.9042,0.2159,1631501,9069549.57,4216638600.0,4216638600.0
2019-11-18,'002029,∆ﬂ ∆• ¿«,5.53,5.57,5.49,5.5,5.5,0.03,0.5455,0.1918,1449011,8006358.71,4178855100.0,4178855100.0
2019-11-15,'002029,∆ﬂ ∆• ¿«,5.5,5.57,5.5,5.57,5.56,-0.06,-1.0791,0.2726,2060200,11372857.0,4156185000.0,4156185000.0
2019-11-14,'002029,∆ﬂ ∆• ¿«,5.56,5.59,5.54,5.59,5.59,-0.03,-0.5367,0.3416,2581100,14357281.0,4201525200.0,4201525200.0
2019-11-13,'002029,∆ﬂ ∆• ¿«,5.59,5.66,5.57,5.61,5.61,-0.02,-0.3565,0.24,1813815,10177968.15,4224195300.0,4224195300.0
